Site4,City,TimeZone,OffUTC,State,Lat,Lon,Elevation(feet)
CWAJ,ERIEAU (MAPS),EST,-5,ON,42.25,-81.9,584
CWBE,KILLARNEY (MAPS),EST,-5,ON,45.96666667,-81.46666667,643
CWBZ,ST ANICET,EST,-5,QC,45.11666667,-74.26666667,161
CWFJ,CARDSTON (AUT),MST,-7,AB,49.2,-113.2666667,3727
CWGD,GODERICH (AUTO8),EST,-5,ON,43.76666667,-81.71666667,702
CWGH,GRENADIER ISLAND,EST,-5,ON,44.41666667,-75.85,269
CWGW,SPARWOOD (AUTO8),MST,-7,BC,49.75,-114.9,3730
CWHV,BEAUCEVILLE,EST,-5,QC,46.2,-70.76666667,751
CWIT,ST CLOTHILDE (A,EST,-5,QC,45.16666667,-73.66666667,171
CWIY,ST LEONARD AUTO8,AST,-4,NB,47.13333333,-67.81666667,791
CWJI,ASSINIBOIA ARPT,CST,-6,SK,49.71666667,-105.9166667,2375
CWNM,NELSON (AUTO8),PST,-8,BC,49.5,-117.2833333,1755
CWOE,ONEFOUR (AUTO8),MST,-7,AB,49.11666667,-110.4666667,3068
CWPE,POINT LEPREAU,AST,-4,NB,45.06666667,-66.46666667,3
CWPO,PILOT MOUND (MAR,CST,-6,MB,49.2,-98.9,1542
CWQP,POINT PETRE (MAR,EST,-5,ON,43.81666667,-77.15,259
CWRT,CROWSNEST,MST,-7,AB,49.61666667,-114.4666667,4275
CWRY,MILK RIVER,MST,-7,AB,49.11666667,-112.0333333,3445
CWSS,ST. STEPHEN (MAR,AST,-4,NB,45.2,-67.25,85
CWST,LA POCATIERE,EST,-5,QC,47.35,-70.01666667,102
CWVN,VAL MARIE SE(AUT,CST,-6,SK,49.06666667,-107.5666667,2575
CWVU,BRIER ISLAND(AUT,AST,-4,NS,44.28333333,-66.33333333,52
CWWB,BURLINGTON PIERS,EST,-5,ON,43.28333333,-79.78333333,253
CWWF,WEYBURN (AUTO8),CST,-6,SK,49.7,-103.7833333,1932
CWWZ,PORT WELLER (MAR,EST,-5,ON,43.25,-79.21666667,259
CWYY,OSOYOOS (AUTO8),PST,-8,BC,49.01666667,-119.4166667,928
CWZA,AGASSIZ (AUTO),PST,-8,BC,49.25,-121.7666667,49
CXDI,DELHI CS (AUT),EST,-5,ON,42.86666667,-80.55,761
CYAM,SAULT STE MARIE,EST,-5,ON,46.46666667,-84.51666667,630
CYBK,BAKER LAKE AIRPO,CST,-6,NT,64.28333333,-96.06666667,59
CYBR,BRANDON AIRPORT,CST,-6,MB,49.91666667,-99.95,1342
CYEG,EDMONTON,MST,-7,AB,53.3,-113.58,2372
CYEN,ESTEVAN AIRPORT,CST,-6,SK,49.21666667,-102.9666667,1906
CYFC,FREDERICTON,AST,-4,NB,45.87,-66.53,66
CYHE,HOPE AIRPORT (MA,PST,-8,BC,49.36666667,-121.4666667,128
CYHM,HAMILTON AIRPORT,EST,-5,ON,43.16666667,-79.93333333,781
CYHZ,HALIFAX,AST,-4,NS,44.88,-63.5,476
CYKA,KAMLOOPS AIRPORT,PST,-8,BC,50.7,-120.45,1135
CYOW,OTTAWA,EST,-5,ON,45.3,-75.67,374
CYPA,PRINCE ALBERT,CST,-6,SK,53.22,-105.7,1404
CYQB,QUEBEC,EST,-5,PQ,46.8,-71.4,240
CYQD,THE PAS,CST,-6,MB,53.97,-101.1,889
CYQG,WINDSOR,EST,-5,ON,42.3,-82.96,623
